Series Name,Series Code,Level,Level2,Country Name,Country Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Sierra Leone,,Pujehun,SL.SO.PU,..,..,..,..,..,..,..,54.1,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Sierra Leone,,Tonkolili,SL.NO.TO,..,..,..,..,..,..,..,76.4,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Sierra Leone,,Western Area,SL.WE,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Togo,,Centrale,TG.CE,..,..,74.6,..,..,..,..,80.2,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Togo,,Grande Lomé,TG.LM_YR1950,..,..,32.8,..,..,..,..,27.2,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Togo,,Kara,TG.KA,..,..,74.2,..,..,..,..,68.4,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Togo,,Maritime,TG.MA,..,..,67.1,..,..,..,..,53.9,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Togo,,Plateaux,TG.PL,..,..,61.1,..,..,..,..,64.7,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Togo,,Savanes,TG.SA,..,..,86.7,..,..,..,..,90.8,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: National Poverty Line - Subnational Poverty,,,,,,,,,,,,,,,
Last Updated: 04/27/2015,,,,,,,,,,,,,,,
